,Number of Orders To Detect all OD,,
ID,TuscanIC,Pairwise,TuscanE
M1,45,87,17
M2,6,7,3
M3,1,3,1
M4-1,11,68,11
M4-2,2,45,2
M5,"1,503","1,251",710
M6,69,147,30
M7-1,1,8,1
M7-2,105,76,38
M7-3,2,46,2
M7-4,68,56,27
M7-5,189,235,131
M7-6,2,456,2
M7-7,4,4,4
M8,1,34,1
M9-1,189,567,44
M9-2,1,45,1
M9-3,2,4,2
M9-4,12,23,12
M9-5,18,56,7
M10,4,67,2
M11-1,1,33,1
M11-2,1,124,1
M11-3,13,3,2
M11-4,4,76,2
M12,7,79,8
M13,"1,345",906,204
M14,6,34,9
M15,59,780,49
M16,6,6,2
M17,8,12,2
M18,9,57,2
M19-1,6,89,4
M19-2,189,234,55
M19-3,6,677,4
M19-4,7,4,2
M20,8,67,1
M21,1,78,7
M22-1,90,67,18
M22-2,6,88,1
M23-1,768,788,393
M23-2,5,6,2
M24,6,78,4
M25-1,738,680,203
M25-2,4,45,3
M26,425,"4,663",317
