ID,1st OD Detection Order No,,,1st OD Detection Time,,
,Red. tests,Full Testsuite,TuscanE,Red. tests,Full Testsuite,TuscanE
M1,2,2,2,12.0,12.0,12.0
M2,2,2,2,2.5,2.5,2.5
M3,2,2,2,48.4,48.4,48.4
M4-1,11,11,11,1623.2,1623.2,1623.2
M4-2,2,2,2,595.4,595.4,595.4
M5,2,2,2,4.4,4.4,4.4
M6,454,17,15,2679.4,100.3,88.5
M7-1,2,2,2,11.6,11.6,11.6
M7-2,5,6,5,166.9,200.3,166.9
M7-3,2,2,2,14.3,14.3,14.3
M7-4,2,2,2,9.3,9.3,9.3
M7-5,44,8,7,231.4,42.1,36.8
M7-6,3,4,3,603.1,804.1,603.1
M7-7,2,2,2,3.4,3.4,3.4
M8,4,5,4,382.3,477.9,382.3
M9-1,8,9,7,833.1,937.2,728.9
M9-2,2,2,2,100.5,100.5,100.5
M9-3,2,2,2,611.0,611.0,611.0
M9-4,2,2,2,168.0,168.0,168.0
M9-5,10,11,10,765.1,841.6,765.1
M10,7,8,7,77.3,88.3,77.3
M11-1,2,2,2,74.7,74.7,74.7
M11-2,2,2,2,31.7,31.7,31.7
M11-3,2,2,2,24.6,24.6,24.6
M11-4,2,2,2,24.7,24.7,24.7
M12,2,2,2,20.2,20.2,20.2
M13,2,2,2,3.1,3.1,3.1
M14,42,46,42,87.3,95.6,87.3
M15,3,4,3,43.5,58.0,43.5
M16,2,20,2,169.1,1690.9,169.1
M17,2,2,2,5.6,5.6,5.6
M18,2,2,2,16.6,16.6,16.6
M19-1,33,33,33,1357.1,1357.1,1357.1
M19-2,2,2,2,75.4,75.4,75.4
M19-3,2,2,2,30.4,30.4,30.4
M19-4,2,2,2,124.9,124.9,124.9
M20,7,8,7,24.3,27.8,24.3
M21,15,18,15,67.2,80.6,63.3
M22-1,42,42,42,580.5,580.5,580.5
M22-2,27,28,28,85.0,88.2,88.2
M23-1,2,2,2,7.1,7.1,7.1
M23-2,2,2,2,12.2,12.2,12.2
M24,4,4,4,21.1,21.1,21.1
M25-1,8,8,8,55.1,55.1,55.1
M25-2,2,2,2,3.6,3.6,3.6
M26,2,2,2,21.4,21.4,21.4
Average,17.0,7.5,6.7,258.9,244.1,196.1
