,,Number of,,Runtime (in sec.),,Generation time (in sec.),,
ID,Module,Tests,Test Classes,Test Suite,Overhead,Prior work [10],Pairwise,TuscanE
M1,activiti-spring-boot-starter,45,11,0.50,5.51,0.80,0.04,0.11
M2,aismessages,44,18,0.16,1.08,1.46,0.03,0.10
M3,c2mon-server-elasticsearch,19,11,10.27,13.94,0.67,0.01,0.08
M4-1,compute,488,74,143.17,4.40,521.43,1.20,2.10
M4-2,request,325,49,289.13,8.59,208.81,1.40,1.15
M5,cukes-http,14,4,0.76,1.44,0.67,0.00,0.08
M6,dropwizard-logging,80,18,3.76,2.14,1.28,0.11,0.20
M7-1,dubbo-cluster,112,23,3.99,1.81,2.28,0.24,0.35
M7-2,dubbo-common,520,70,31.76,1.62,112.25,1.46,3.61
M7-3,dubbo-config-api,263,23,4.92,2.24,13.65,0.33,0.93
M7-4,dubbo-filter-cache,9,5,2.96,1.66,0.57,0.01,0.07
M7-5,dubbo-rpc-api,60,23,3.75,1.51,0.98,0.06,0.13
M7-6,dubbo-rpc-dubbo,74,16,159.64,41.40,1.16,0.10,0.16
M7-7,dubbo-serialization-fst,21,4,0.30,1.38,0.62,0.01,0.10
M8,elastic-job-lite-core,511,98,32.09,63.48,137.45,1.67,1.96
M9-1,hadoop-auth,125,22,100.03,4.10,3.01,0.27,0.35
M9-2,hadoop-hdfs-nfs,64,12,43.88,6.35,0.96,0.08,0.17
M9-3,hadoop-mapreduce-client-app,394,49,289.48,16.00,61.79,1.08,2.16
M9-4,hadoop-mapreduce-client-core,293,60,78.91,5.09,28.52,0.54,1.29
M9-5,hadoop-mapreduce-client-hs,206,26,68.45,8.06,11.76,0.36,0.63
M10,hsac-fitnesse-fixtures,251,49,7.30,3.73,14.20,0.72,0.67
M11-1,integration-test-2_1,233,40,18.95,18.38,12.55,0.56,0.91
M11-2,integration-test-2_2,23,4,1.92,13.95,0.74,0.01,0.09
M11-3,integration-test-3_10,24,3,0.82,11.49,0.72,0.01,0.09
M11-4,integration-test-3_7,6,1,0.51,11.84,0.57,0.00,0.08
M12,jhipster-registry,53,14,1.49,8.63,0.94,0.05,0.14
M13,lib,163,2,0.23,1.34,0.92,0.18,0.14
M14,marine-api,926,71,0.63,1.44,"1,089.97",0.62,4.15
M15,openpojo,"1,185",213,11.69,2.80,"6,566.07",2.22,8.71
M16,org.wso2.carbon.apimgt.core,530,46,76.11,8.44,616.40,0.07,10.39
M17,portlet,61,12,1.17,1.65,1.03,0.09,0.15
M18,riptide-spring-boot-starter,40,25,1.47,6.85,1.64,0.20,0.12
M19-1,spring-boot,"2,255",230,27.85,13.27,"23,625.56",13.03,80.42
M19-2,spring-boot-actuator-autoconfigure,733,166,24.13,13.57,"1,997.08",1.59,4.61
M19-3,spring-boot-test,721,115,2.32,12.89,"1,764.98",3.97,16.25
M19-4,spring-boot-test-autoconfigure,234,103,3.03,59.40,50.91,0.04,0.71
M20,spring-data-ebean,48,2,0.30,3.17,0.76,0.00,0.11
M21,spring-data-envers,10,4,0.60,3.88,1.31,0.22,0.09
M22-1,spring-ws-core,971,145,8.12,5.70,"3,216.01",0.26,4.99
M22-2,spring-ws-security,122,43,1.24,1.91,6.04,0.01,0.20
M23-1,naming,82,11,1.27,2.26,3.12,0.18,0.22
M23-2,subsystem,25,10,3.76,2.33,2.06,0.07,0.10
M24,unix4j-command,290,30,4.38,0.89,48.02,0.05,1.00
M25-1,wdtk-dumpfiles,50,9,2.59,4.30,1.54,0.01,0.14
M25-2,wdtk-util,23,5,0.46,1.33,2.03,0.12,0.09
M26,wro4j-core,851,137,9.58,1.12,"2,424.08",1.61,5.79
,,,,,,,,
,Average,295,46,32.17,8.88,925.20,0.76,3.39
