,Number of test orders run,,,Number of tests run,,,Time to generate and run (in sec.),,
ID,Prior work [10],Pairwise,TuscanE,Prior work [10],Pairwise,TuscanE,Prior work [10],Pairwise,TuscanE
M1,"1,794","1,980",438,"80,730","3,960",3529,"10,780","10,948",2439
M2,"1,788","1,892",361,"78,672","3,784",3346,"2,228","2,059",389
M3,312,342,97,"5,928",684,564,"7,555","5,138",1607
M4-1,"232,368","237,656",26090,"113,395,584","475,312",467229,"34,290,315","1,185,132",245421
M4-2,"101,578","105,300",16497,"33,012,850","210,600",203914,"30,242,436","1,091,992",315828
M5,122,182,87,"1,708",364,284,269,282,140
M6,"5,640","6,320",1835,"451,200","12,640",11565,"33,286","14,107",4449
M7-1,"11,244","12,432",3682,"1,259,328","24,864",23070,"65,214","23,363",7454
M7-2,"261,418","269,880",47626,"135,937,360","539,760",530343,"8,726,717","470,176",108196
M7-3,"64,268","68,906",13906,"16,902,484","137,812",133277,"459,811","156,583",33483
M7-4,70,72,30,630,144,117,324,167,91
M7-5,"3,386","3,540",580,"203,160","7,080",6390,"17,810","5,774",1218
M7-6,"5,036","5,402",958,"372,664","10,804",9895,"1,012,403","246,928",59826
M7-7,224,420,147,"4,704",840,678,379,593,218
M8,"256,130","260,610",24619,"130,882,430","521,220",509234,"24,479,926","16,577,300",1588039
M9-1,"14,270","15,500",3820,"1,783,750","31,000",28797,"1,485,985","88,374",37696
M9-2,"3,330","4,032",1539,"213,120","8,064",7339,"167,288","31,149",14534
M9-3,"148,542","154,842",29147,"58,525,548","309,684",300637,"45,376,463","2,704,849",679712
M9-4,"82,814","85,556",17984,"24,264,502","171,112",163728,"6,956,601","481,905",133378
M9-5,"39,500","42,230",9329,"8,137,000","84,460",79898,"3,022,131","368,397",101044
M10,"60,816","62,750",8900,"15,264,816","125,500",121054,"671,192","237,898",36471
M11-1,"50,658","54,056",13177,"11,803,314","108,112",101902,"1,891,165","1,002,451",249838
M11-2,382,506,197,"8,786","1,012",860,"6,062","7,144",2818
M11-3,316,552,222,"7,584","1,104",892,"3,893","6,382",2695
M11-4,6,30,6,36,60,36,75,360,74
M12,"2,572","2,756",455,"136,316","5,512",4990,"26,032","23,937",4041
M13,644,"26,406",644,"104,972","52,812",27209,"1,012","35,406",1113
M14,"841,810","856,550",50739,"779,516,060","1,713,100",1686655,"1,750,820","1,238,033",74362
M15,"1,392,896","1,403,040",86349,"1,650,581,760","2,806,080",2769201,"20,196,687","3,959,009",267457
M16,"237,882","280,370",124083,"126,077,460","560,740",545507,"20,112,647","2,446,564",1119554
M17,"3,306","3,660",842,"201,666","7,320",6601,"9,320","6,169",1500
M18,"1,512","1,560",256,"60,480","3,120",2534,"12,584","10,805",1745
M19-1,"5,015,642","5,082,770",612922,"11,310,272,710","10,165,540",10131892,"206,283,212","67,594,247",8253310
M19-2,"531,042","536,556",49282,"389,253,786","1,073,112",1054367,"20,022,901","7,314,789",699463
M19-3,"472,332","519,120",171633,"340,551,372","1,038,240",1003477,"7,186,061","6,692,731",2215427
M19-4,"53,474","54,522",7491,"12,512,916","109,044",99931,"3,338,344","3,240,018",442828
M20,574,"2,256",574,"27,552","4,512",3034,"1,995","7,189",1948
M21,58,90,38,580,180,136,261,360,171
M22-1,"932,108","941,870",56126,"905,076,868","1,883,740",1861797,"12,885,850","5,380,654",333845
M22-2,"14,452","14,762",1063,"1,763,144","29,524",27022,"45,507","28,423",2210
M23-1,"5,712","6,642",2281,"468,384","13,284",12225,"20,179","15,230",5329
M23-2,554,600,121,"13,850","1,200",1001,"3,377","1,579",410
M24,"79,464","83,810",14716,"23,044,560","167,620",162313,"419,003","76,957",15442
M25-1,"2,116","2,450",719,"105,800","4,900",4341,"14,585","10,791",3320
M25-2,492,506,174,"11,316","1,012",876,882,691,250
M26,"713,822","723,350",62889,"607,462,522","1,446,700",1432725,"7,640,534","827,162",85720
,,,,,,,,,
Average,"253,228","259,536",31841,"363,040,043","519,071",511879,"9,976,133","2,687,613",372967
