ID,Generation time (in sec.),,,Number of test orders run,,,Number of tests run,,,Time to generate and run(in sec.),,
,Red. tests,Full Testsuite,TuscanE,Red. tests,Full Testsuite,TuscanE,Red. tests,Full Testsuite,TuscanE,Red. tests,Full Testsuite,TuscanE
M1,0.22,0.15,0.11,438,600,438,3346,19710,3529,2450,2632,2451
M2,0.11,0.14,0.10,358,517,361,2943,15752,3346,398,446,403
M3,0.09,0.09,0.08,95,114,97,493,1805,564,1591,2300,1657
M4-1,2.18,2.20,2.10,26090,34216,26090,442336,12731920,467229,244568,3850019,251871
M4-2,1.35,1.34,1.15,16495,20524,16497,194002,5360875,203914,314302,4910962,323137
M5,0.08,0.09,0.08,87,91,87,283,1218,284,141,191,141
M6,0.24,0.27,0.20,1835,2144,1835,10800,146800,11565,4432,10830,4468
M7-1,0.43,0.46,0.35,3681,4218,3682,21878,412272,23070,7435,21349,7480
M7-2,3.98,6.98,3.61,47626,54324,47626,507503,24765520,530343,108157,1589849,109551
M7-3,1.09,1.61,0.93,13907,15889,13906,128801,3657541,133277,33492,99497,33574
M7-4,0.08,0.08,0.07,29,33,30,104,261,117,82,134,88
M7-5,0.15,0.16,0.13,579,836,580,5735,34740,6390,1231,3046,1273
M7-6,0.17,0.23,0.16,959,1349,958,9330,70966,9895,59826,192791,61004
M7-7,0.09,0.10,0.10,145,149,147,618,3045,678,210,245,213
M8,1.13,2.42,1.96,24618,34330,24619,473525,12579798,509234,1592589,2352883,1594895
M9-1,0.47,0.52,0.35,3819,4623,3820,27377,477375,28797,37571,397686,38711
M9-2,0.24,0.23,0.17,1541,1703,1539,6830,98624,7339,14475,77414,14811
M9-3,2.34,2.32,2.16,29147,33297,29147,290109,11483918,300637,679474,8903787,687209
M9-4,1.45,2.12,1.29,17983,21386,17984,154682,5269019,163728,133265,1510617,135706
M9-5,0.76,1.04,0.63,9328,10828,9329,77918,1921568,79898,101066,713680,101732
M10,0.79,1.36,0.67,8901,12050,8900,113534,2234151,121054,36532,98235,36747
M11-1,0.93,1.68,0.91,13177,15215,13177,97603,3070241,101902,250159,491922,250508
M11-2,0.10,0.10,0.09,197,219,197,830,4531,860,2818,3126,2820
M11-3,0.09,0.10,0.09,221,224,222,817,5304,892,2568,2722,2582
M11-4,0.07,0.08,0.08,6,7,6,36,36,36,74,74,74
M12,0.12,0.14,0.14,457,685,455,4622,24221,4990,4074,4625,4067
M13,0.21,0.16,0.14,644,644,644,27050,104972,27209,900,1011,900
M14,4.15,5.14,4.15,50738,71570,50739,1640659,46983388,1686655,74394,105466,74427
M15,8.39,11.54,8.71,86347,132476,86349,2598963,102321195,2769201,267600,1251617,269284
M16,10.10,13.60,10.39,124084,128745,124083,504250,65764520,545507,1119567,10490850,1125481
M17,0.17,0.17,0.15,842,1078,842,6369,51362,6601,1509,2374,1514
M18,0.36,0.13,0.12,256,333,256,2192,10240,2534,1835,2130,1848
M19-1,81.20,90.50,80.42,612919,612770,612922,9742945,1382132345,10131892,8256298,25205322,8261136
M19-2,4.14,5.97,4.61,49281,69950,49282,969248,36122973,1054367,700513,1857957,703329
M19-3,16.56,18.95,16.25,171630,188248,171633,926078,123745230,1003477,2214628,2610557,2214914
M19-4,1.25,1.09,0.71,7490,9940,7491,87455,1752660,99931,446039,467589,446259
M20,0.12,0.12,0.11,574,574,574,2830,27552,3034,1840,1994,1841
M21,0.13,0.09,0.09,37,43,38,127,370,136,151,166,156
M22-1,4.69,7.50,4.99,56127,85006,56126,1752826,54499317,1861797,334372,775737,335278
M22-2,0.21,0.38,0.20,1062,2445,1063,24087,129564,27022,2269,3344,2301
M23-1,0.81,0.29,0.22,2281,2501,2281,11746,187042,12225,5346,8057,5349
M23-2,0.09,0.11,0.10,121,187,121,915,3025,1001,420,737,433
M24,1.26,1.77,1.00,14715,17758,14716,155957,4267350,162313,15426,77583,15523
M25-1,0.15,0.16,0.14,718,860,719,4223,35900,4341,3307,4949,3318
M25-2,0.09,0.11,0.09,171,205,174,823,3933,876,243,306,248
M26,6.69,6.21,5.79,62888,87170,62889,1347000,53517688,1432725,85667,672927,86632
Average,3.47,4.13,3.39,"31,840","36,567","31,841","486,561","42,522,866","511,879","373,159","1,495,255","374,290"
