ID,1st OD Detection Order No,,,1st OD Detection Time,,
,Red. tests,Full Testsuite,TuscanE,Red. tests,Full Testsuite,TuscanE
M1,2,2,2,12.02,12.02,12.02
M2,2,2,2,2.49,2.49,2.49
M3,2,2,2,48.43,48.43,48.43
M4-1,11,11,11,1623.24,1623.23,1623.24
M4-2,2,2,2,595.45,595.45,595.45
M5,2,2,2,4.40,4.40,4.40
M6,454,17,15,2679.39,100.33,88.53
M7-1,2,2,2,11.60,11.60,11.60
M7-2,5,6,5,166.91,200.29,166.91
M7-3,2,2,2,14.31,14.31,14.31
M7-4,2,2,2,9.25,9.26,9.26
M7-5,44,8,7,231.44,42.08,36.82
M7-6,3,4,3,603.10,804.13,603.10
M7-7,2,2,2,3.38,3.37,3.38
M8,4,5,4,382.30,477.88,382.30
M9-1,8,9,7,833.07,937.20,728.93
M9-2,2,2,2,100.47,100.47,100.47
M9-3,2,2,2,610.96,610.96,610.96
M9-4,2,2,2,168.00,168.00,168.00
M9-5,10,11,10,765.09,841.60,765.09
M10,7,8,7,77.25,88.29,77.25
M11-1,2,2,2,74.66,74.66,74.66
M11-2,2,2,2,31.74,31.74,31.74
M11-3,2,2,2,24.63,24.63,24.64
M11-4,2,2,2,24.73,24.70,24.75
M12,2,2,2,20.24,20.24,20.24
M13,2,2,2,3.14,3.14,3.14
M14,42,46,42,87.30,95.61,87.30
M15,3,4,3,43.49,57.98,43.49
M16,2,20,2,169.09,1690.92,169.09
M17,2,2,2,5.64,5.64,5.64
M18,2,2,2,16.65,16.64,16.64
M19-1,33,33,33,1357.07,1357.07,1357.07
M19-2,2,2,2,75.40,75.40,75.40
M19-3,2,2,2,30.42,30.42,30.42
M19-4,2,2,2,124.86,124.86,124.86
M20,7,8,7,24.32,27.79,24.32
M21,15,18,15,67.24,80.62,63.29
M22-1,42,42,42,580.48,580.48,580.48
M22-2,27,28,28,85.01,88.16,88.16
M23-1,2,2,2,7.07,7.06,7.06
M23-2,2,2,2,12.18,12.18,12.18
M24,4,4,4,21.09,21.09,21.09
M25-1,8,8,8,55.14,55.14,55.14
M25-2,2,2,2,3.58,3.58,3.58
M26,2,2,2,21.40,21.40,21.40
Average,17.02,7.48,6.67,258.89,244.06,196.06
