ID,Numbers of orders to detect the 1st OD,,,,,,Time (in sec.) to detect the 1st OD,,,,,
,Red. tests,Full Testsuite,Random,TuscanIC,Pairwise,TuscanE,Red. tests,Full Testsuite,Random,TuscanIC,Pairwise,TuscanE
M1,2,2,2.20,19,37,2,12.02,12.02,13.22,114.17,227.98,12.02
M2,2,2,3.10,9,290,2,2.49,2.49,3.86,11.21,395.90,2.49
M3,2,2,5.10,20,24,2,48.43,48.43,123.49,484.31,418.67,48.43
M4-1,11,11,22.80,2071,8697,11,1623.24,1623.23,3364.52,305615.42,50186.40,1623.24
M4-2,2,2,5.10,1270,1522,2,595.45,595.45,1518.39,378112.33,16497.17,595.45
M5,2,2,3.90,3,156,2,4.40,4.40,8.58,6.62,470.63,4.40
M6,454,17,17.10,267,2552,15,2679.39,100.33,100.92,1575.79,6542.41,88.53
M7-1,2,2,2.30,2,714,2,11.60,11.60,13.34,11.60,5482.79,11.60
M7-2,5,6,3.40,3781,168198,5,166.91,200.29,113.50,126218.22,300452.92,166.91
M7-3,2,2,17.80,23,31,2,14.31,14.31,127.35,164.56,89.73,14.31
M7-4,2,2,3.20,8,34,2,9.25,9.26,14.79,37.05,118.15,9.26
M7-5,44,8,8.20,432,28,7,231.44,42.08,43.13,2272.31,48.06,36.82
M7-6,3,4,4.80,53,489,3,603.10,804.13,964.96,10654.76,27916.88,603.10
M7-7,2,2,4.10,9,48,2,3.38,3.37,6.92,15.21,85.77,3.38
M8,4,5,2.10,666,15095,4,382.30,477.88,200.71,63653.73,968851.91,382.30
M9-1,8,9,5.10,3315,14236,7,833.07,937.20,531.08,345202.60,84297.14,728.93
M9-2,2,2,2.70,282,88,2,100.47,100.47,135.64,14166.74,711.18,100.47
M9-3,2,2,2.40,2689,14588,2,610.96,610.96,733.15,821433.05,258144.08,610.96
M9-4,2,2,2.80,1084,5244,2,168.00,168.00,235.21,91058.94,30350.22,168.00
M9-5,10,11,2.50,13474,11602,10,765.09,841.60,191.27,1030890.97,101869.61,765.09
M10,7,8,7.20,665,33107,7,77.25,88.29,79.46,7339.23,129361.08,77.25
M11-1,2,2,4.30,612,493,2,74.66,74.66,160.53,22847.19,9202.66,74.66
M11-2,2,2,4.60,29,2,2,31.74,31.74,72.99,460.24,30.42,31.74
M11-3,2,2,3.60,2,93,2,24.63,24.63,44.34,24.64,2220.70,24.64
M11-4,2,2,4.00,3,2,2,24.73,24.70,49.40,37.33,40.49,24.75
M12,2,2,3.40,29,852,2,20.24,20.24,34.41,293.51,7994.56,20.24
M13,2,2,2.60,3,915,2,3.14,3.14,4.08,4.71,2184.20,3.14
M14,42,46,29.50,12553,57372,42,87.30,95.61,61.32,26108.08,83322.78,87.30
M15,3,4,3.80,5204,153118,3,43.49,57.98,55.08,75456.86,433337.91,43.49
M16,2,20,2.60,59,179302,2,169.09,1690.92,219.82,4988.38,2078499.57,169.09
M17,2,2,2.70,242,117,2,5.64,5.64,7.61,682.21,199.92,5.64
M18,2,2,2.90,2,60,2,16.65,16.64,24.13,16.65,914.89,16.64
M19-1,33,33,22.30,708370,4215579,33,1357.07,1357.07,917.05,29133825.48,56069796.55,1357.07
M19-2,2,2,2.50,329,139418,2,75.40,75.40,94.25,12404.92,1932617.45,75.40
M19-3,2,2,3.40,953,8585,2,30.42,30.42,51.71,14498.95,110955.70,30.42
M19-4,2,2,2.60,6,10455,2,124.86,124.86,162.31,374.58,838860.35,124.86
M20,7,8,57.00,294,32,7,24.32,27.79,198.03,1021.82,104.62,24.32
M21,15,18,15.40,3,6,15,67.24,80.62,68.98,13.50,158.36,63.29
M22-1,42,42,9.10,950,3529,42,580.48,580.48,125.77,13133.20,22316.58,580.48
M22-2,27,28,33.70,336,201,28,85.01,88.16,106.10,1058.01,439.74,88.16
M23-1,2,2,2.30,161,6,2,7.07,7.06,8.12,568.77,14.02,7.06
M23-2,2,2,17.70,160,4,2,12.18,12.18,107.82,975.22,10.83,12.18
M24,4,4,3.10,1624,25632,4,21.09,21.09,16.34,8563.14,23869.09,21.09
M25-1,8,8,11.20,5,36,8,55.14,55.14,77.19,34.46,555.56,55.14
M25-2,2,2,3.90,2,358,2,3.58,3.58,6.98,3.59,1129.40,3.58
M26,2,2,2.20,5239,36859,2,21.40,21.40,23.54,56076.66,42299.31,21.40
Average,17.02,7.48,8.22,"16,680.70","111,082.74",6.67,258.89,244.06,243.94,"708,098.06","1,383,556.40",196.06
