Characteristic,Group,n (modules),Fewer test-orders vs. Tuscan IC (x),Fewer test-orders vs. Pairwise (x),Fewer tests run vs. Tuscan IC (x),Less time (gen. + run) vs. Tuscan IC (x),Less time (gen. + run) vs. Pairwise (x)
# tests,Small (<100),22,2.72,3.66,14.1,4.03,3.34
,Medium (100-499),14,4.85,6.62,92.3,21.12,5.24
,Large (>=500),10,8.18,8.50,405.7,28.19,7.93
,KW p,,<0.001,<0.001,<0.001,<0.001,0.005
# test classes,Few (<=5),10,1.50,3.72,5.7,1.69,3.39
,Moderate (6-49),24,4.29,4.66,50.7,12.24,4.03
,Many (>=50),12,8.76,8.98,339.6,31.54,7.88
,KW p,,<0.001,<0.001,<0.001,<0.001,0.001
Tests per class,Fine (<4),11,4.18,4.70,18.4,5.79,4.26
,Medium (4-7),23,4.49,5.29,66.2,12.80,4.55
,Coarse (>=7),12,3.44,5.79,84.1,11.03,5.15
,KW p,,0.725,0.949,0.028,0.249,0.913
Overhead / suite runtime,Test-dominated (<0.5),17,5.23,5.56,142.4,34.27,4.34
,Balanced (0.5-2),14,4.74,5.18,46.6,8.48,4.78
,Overhead-dominated (>=2),15,2.76,5.03,18.2,3.05,4.82
,KW p,,0.066,0.574,0.001,<0.001,0.991
